Player,Year,Pos,Age,G,MP,PTS,TRB,AST
A.J. Guyton,2003,PG,24,2,4.5,0.0,0.0,1.0
Adonal Foyle,2003,C,27,82,21.8,5.4,6.0,0.5
Antawn Jamison,2003,SF,26,82,39.3,22.2,7.0,1.9
Bob Sura,2003,SG,29,55,20.5,7.3,3.0,3.2
Chris Mills,2003,PF,33,21,12.5,4.8,2.4,1.0
Danny Fortson,2003,PF,26,17,13.1,3.5,4.3,0.7
Dean Oliver,2003,PG,24,15,6.2,1.5,1.1,1.5
Earl Boykins,2003,PG,26,68,19.4,8.8,1.3,3.3
Erick Dampier,2003,C,27,82,24.1,8.2,6.6,0.7
Gilbert Arenas,2003,PG,21,82,35.0,18.3,4.7,6.3
Guy Rucker,2003,PF,25,3,1.3,0.0,0.3,0.3
Jason Richardson,2003,SG,22,82,32.9,15.6,4.6,3.0
JiÅ™Ã­ Welsch,2003,SF,23,37,6.3,1.6,0.8,0.7
Mike Dunleavy,2003,SF,22,82,15.9,5.7,2.6,1.3
Troy Murphy,2003,PF,22,79,31.8,11.7,10.2,1.3
Ã“scar Torres,2003,SG,26,17,6.4,3.1,0.7,0.2
A.J. Hammons,2017,C,24,22,7.4,2.2,1.6,0.2
Ben Bentil,2017,PF,21,3,3.3,0.0,0.7,0.0
DeAndre Liggins,2017,SG,28,62,12.5,2.5,1.7,0.9
Devin Harris,2017,PG,33,65,16.7,6.7,2.0,2.1
Dirk Nowitzki,2017,PF,38,54,26.4,14.2,6.5,1.5
Dorian Finney-Smith,2017,PF,23,81,20.3,4.3,2.7,0.8
Dwight Powell,2017,C,25,77,17.3,6.7,4.0,0.6
Harrison Barnes,2017,PF,24,79,35.5,19.2,5.0,1.5
J.J. Barea,2017,PG,32,35,22.0,10.9,2.4,5.5
Jarrod Uthoff,2017,PF,23,9,12.8,4.4,2.4,1.0
Jonathan Gibson,2017,PG,29,17,13.6,6.2,1.3,1.5
Manny Harris,2017,SG,27,4,6.3,2.0,2.3,0.5
Nerlens Noel,2017,C,22,51,20.5,8.7,5.8,1.0
NicolÃ¡s Brussino,2017,SG,23,54,9.6,2.8,1.8,0.9
Pierre Jackson,2017,PG,25,8,10.5,4.4,1.1,2.4
Salah Mejri,2017,C,30,73,12.4,2.9,4.2,0.2
Seth Curry,2017,PG,26,70,29.0,12.8,2.6,2.7
Wesley Matthews,2017,SG,30,73,34.2,13.5,3.5,2.9
Yogi Ferrell,2017,PG,23,46,26.0,10.0,2.4,3.7
A.J. Price,2010,PG,23,56,15.4,7.3,1.6,1.9
Brandon Rush,2010,SG,24,82,30.4,9.4,4.2,1.4
Dahntay Jones,2010,SF,29,76,24.9,10.2,3.0,2.0
Danny Granger,2010,SF,26,62,36.7,24.1,5.5,2.8
Earl Watson,2010,PG,30,79,29.4,7.8,3.0,5.1
Jeff Foster,2010,C,33,16,15.9,3.1,5.1,1.3
Josh McRoberts,2010,C,22,42,12.5,4.3,3.0,1.0
Luther Head,2010,SG,27,47,17.3,7.6,1.7,1.5
Mike Dunleavy,2010,SF,29,67,22.2,9.9,3.5,1.5
Roy Hibbert,2010,C,23,81,25.1,11.7,5.7,2.0
Solomon Jones,2010,C,25,52,13.0,4.0,2.8,0.6
T.J. Ford,2010,PG,26,47,25.3,10.3,3.2,3.8
Troy Murphy,2010,PF,29,72,32.6,14.6,10.2,2.1
Tyler Hansbrough,2010,PF,24,29,17.6,8.5,4.8,1.0
A.J. Price,2011,PG,24,50,15.9,6.5,1.4,2.2
Brandon Rush,2011,SG,25,67,26.2,9.1,3.2,0.9
Dahntay Jones,2011,SG,30,45,13.1,6.3,1.4,0.7
Danny Granger,2011,SF,27,79,35.0,20.5,5.4,2.6
Darren Collison,2011,PG,23,79,29.9,13.2,2.8,5.1
James Posey,2011,SF,34,49,17.1,4.9,3.0,0.7
Jeff Foster,2011,C,34,56,16.8,3.3,6.3,0.8
Josh McRoberts,2011,PF,23,72,22.2,7.4,5.3,2.1
Lance Stephenson,2011,SG,20,12,9.6,3.1,1.5,1.8
Mike Dunleavy,2011,SG,30,61,27.6,11.2,4.5,1.7
Paul George,2011,SG,20,61,20.7,7.8,3.7,1.1
Roy Hibbert,2011,C,24,81,27.7,12.7,7.5,2.0
Solomon Jones,2011,C,26,39,13.5,3.6,2.9,0.8
T.J. Ford,2011,PG,27,41,18.9,5.4,2.0,3.4
Tyler Hansbrough,2011,PF,25,70,21.9,11.0,5.2,0.6
A.J. Price,2012,PG,25,44,12.9,3.9,1.4,2.0
Dahntay Jones,2012,SF,31,65,16.2,5.3,1.8,1.0
Danny Granger,2012,SF,28,62,33.3,18.7,5.0,1.8
Darren Collison,2012,PG,24,60,31.3,10.4,3.1,4.8
David West,2012,PF,31,66,29.2,12.8,6.6,2.1
George Hill,2012,PG,25,50,25.5,9.6,3.0,2.9
Jeff Ayres,2012,C,24,20,5.3,1.7,1.7,0.2
Jeff Foster,2012,C,35,11,12.8,2.3,3.8,0.4
Kyrylo Fesenko,2012,C,25,3,5.7,2.7,3.0,0.3
Lance Stephenson,2012,SG,21,42,10.5,2.5,1.3,1.1
Leandro Barbosa,2012,SG,29,64,21.6,11.1,2.0,1.5
Lou Amundson,2012,PF,29,60,12.6,3.6,3.7,0.2
Paul George,2012,SG,21,66,29.7,12.1,5.6,2.4
Roy Hibbert,2012,C,25,65,29.8,12.8,8.8,1.7
Tyler Hansbrough,2012,PF,26,66,21.8,9.3,4.4,0.5
A.J. Price,2013,PG,26,57,22.4,7.7,2.0,3.6
Bradley Beal,2013,SG,19,56,31.2,13.9,3.8,2.4
Cartier Martin,2013,SF,28,41,16.9,6.6,2.4,0.5
Chris Singleton,2013,PF,23,57,16.2,4.1,3.2,0.6
Emeka Okafor,2013,C,30,79,26.0,9.7,8.8,1.2
Garrett Temple,2013,SG,26,51,22.7,5.1,2.4,2.3
Jan VeselÃ½,2013,PF,22,51,11.8,2.5,2.4,0.5
Jason Collins,2013,C,34,38,10.1,1.1,1.6,0.2
John Wall,2013,PG,22,49,32.7,18.5,4.0,7.6
Kevin SÃ©raphin,2013,C,23,79,21.8,9.1,4.4,0.7
Martell Webster,2013,SF,26,76,28.9,11.4,3.9,1.9
NenÃª,2013,PF,30,61,27.2,12.6,6.7,2.9
Trevor Ariza,2013,SF,27,56,26.3,9.5,4.8,2.0
Trevor Booker,2013,PF,25,48,18.5,5.3,5.0,0.8
A.J. Price,2014,SG,27,28,3.5,1.6,0.4,0.5
Alexey Shved,2014,SG,25,63,10.5,4.0,1.3,1.1
Chase Budinger,2014,SF,25,41,18.3,6.7,2.5,0.8
Corey Brewer,2014,SF,27,81,32.2,12.3,2.6,1.7
Dante Cunningham,2014,PF,26,81,20.2,6.3,4.1,1.0
Gorgui Dieng,2014,C,24,60,13.6,4.8,5.0,0.7
J.J. Barea,2014,PG,29,79,18.6,8.4,1.9,3.8
Kevin Love,2014,PF,25,77,36.3,26.1,12.5,4.4
Kevin Martin,2014,SG,30,68,32.0,19.1,3.0,1.8
Luc Mbah a Moute,2014,PF-SF,27,64,15.7,3.5,2.3,0.6
Nikola PekoviÄ‡,2014,C,28,54,30.8,17.5,8.7,0.9
Othyus Jeffers,2014,SG,28,6,7.8,1.5,1.5,0.2
Ricky Rubio,2014,PG,23,82,32.2,9.5,4.2,8.6
Robbie Hummel,2014,SF,24,53,12.4,3.4,2.5,0.4
Ronny Turiaf,2014,C,31,31,19.5,4.8,5.6,0.8
Shabazz Muhammad,2014,SG,21,37,7.8,3.9,1.4,0.2
A.J. Price,2015,PG,28,26,12.5,5.1,1.2,1.8
Alex Len,2015,C,21,69,22.0,6.3,6.6,0.5
Archie Goodwin,2015,SG,20,41,13.0,5.6,1.8,1.1
Brandan Wright,2015,PF,27,75,19.3,7.3,4.3,0.5
Brandon Knight,2015,PG-SG,23,63,32.3,17.0,3.9,5.2
Earl Barron,2015,C,33,16,8.9,2.0,1.8,0.3
Eric Bledsoe,2015,PG,25,81,34.6,17.0,5.2,6.1
Gerald Green,2015,SG,29,74,19.5,11.9,2.5,1.2
Jerel McNeal,2015,PG,27,6,6.0,1.5,0.5,0.3
Marcus Morris,2015,PF,25,81,25.2,10.4,4.8,1.6
Marcus Thornton,2015,SG,27,48,15.0,7.9,1.8,0.8
Markieff Morris,2015,PF,25,82,31.5,15.3,6.2,2.3
P.J. Tucker,2015,SF,29,78,30.6,9.1,6.4,1.6
Reggie Bullock,2015,SF,23,36,9.4,1.9,1.4,0.2
Seth Curry,2015,PG,24,2,4.0,0.0,1.0,0.5
T.J. Warren,2015,SF,21,40,15.4,6.1,2.1,0.6
Aaron Brooks,2008,PG,23,51,11.9,5.2,1.1,1.7
Bobby Jackson,2008,SG-PG,34,72,19.3,7.7,2.5,1.9
Carl Landry,2008,PF,24,42,16.9,8.1,4.9,0.5
Chuck Hayes,2008,PF,24,79,19.9,3.0,5.4,1.2
Dikembe Mutombo,2008,C,41,39,15.9,3.0,5.1,0.1
Gerald Green,2008,SF,22,30,12.1,5.1,2.1,1.0
Justin Williams,2008,C,23,23,5.3,1.5,2.1,0.0
Loren Woods,2008,C,29,7,2.4,0.9,0.1,0.3
Luis Scola,2008,PF,27,82,24.7,10.3,6.4,1.3
Luther Head,2008,SG,25,73,18.9,7.6,1.8,1.9
